year_month,zip_code,neighborhood,property_type,active_listings,new_listings,closed_sales,pending_sales,median_list_price,median_sale_price,avg_days_on_market,avg_list_to_sale_ratio,months_of_supply
2024-08,62703,Northgate,Single Family,13,6,8,5,398000,393000,20.0,0.993,1.63
2024-08,62704,Southview,Single Family,15,6,8,5,244000,238000,22.0,0.978,1.88
2024-08,62701,Downtown,Condo,22,9,11,7,194000,196000,16.8,1.010,2.00
2024-08,62702,Westside,Condo,16,7,9,6,214000,216000,16.0,1.009,1.78
2024-08,62703,Northgate,Condo,13,5,7,5,164000,166000,17.2,1.012,1.86
2024-09,62701,Downtown,Single Family,15,6,7,5,308000,301000,18.2,0.985,2.14
2024-09,62702,Westside,Single Family,16,7,9,5,324000,319000,18.0,0.988,1.78
2024-09,62703,Northgate,Single Family,12,5,7,4,400000,395000,19.8,0.993,1.71
2024-09,62704,Southview,Single Family,14,5,7,4,246000,240000,21.8,0.978,2.00
2024-09,62701,Downtown,Condo,21,8,10,7,196000,198000,16.5,1.010,2.10
2024-09,62702,Westside,Condo,15,6,8,5,216000,218000,15.8,1.009,1.88
2024-09,62703,Northgate,Condo,12,5,6,4,166000,168000,17.0,1.012,2.00
2024-10,62701,Downtown,Single Family,14,5,6,4,310000,303000,18.5,0.984,2.33
2024-10,62702,Westside,Single Family,15,6,8,5,326000,321000,18.3,0.988,1.88
2024-10,62703,Northgate,Single Family,11,5,6,4,402000,397000,19.5,0.994,1.83
2024-10,62704,Southview,Single Family,13,5,6,4,248000,242000,21.5,0.978,2.17
2024-10,62701,Downtown,Condo,20,8,9,6,198000,200000,16.3,1.010,2.22
2024-10,62702,Westside,Condo,14,5,7,5,218000,220000,15.5,1.009,2.00
2024-10,62703,Northgate,Condo,11,4,5,3,168000,170000,16.8,1.012,2.20
2024-11,62701,Downtown,Single Family,13,5,5,4,312000,305000,18.8,0.983,2.60
2024-11,62702,Westside,Single Family,14,5,7,4,328000,323000,18.5,0.988,2.00
2024-11,62703,Northgate,Single Family,10,4,5,3,404000,399000,19.3,0.994,2.00
2024-11,62704,Southview,Single Family,12,4,5,3,250000,244000,21.3,0.977,2.40
2024-11,62701,Downtown,Condo,19,7,8,6,200000,202000,16.2,1.010,2.38
2024-11,62702,Westside,Condo,13,5,6,4,220000,222000,15.3,1.009,2.17
2024-11,62703,Northgate,Condo,10,4,4,3,170000,172000,16.5,1.012,2.50
2024-12,62701,Downtown,Single Family,12,4,5,3,314000,307000,19.0,0.983,2.40
2024-12,62702,Westside,Single Family,13,5,6,4,330000,325000,18.8,0.988,2.17
2024-12,62703,Northgate,Single Family,9,4,5,3,406000,401000,19.0,0.994,1.80
2024-12,62704,Southview,Single Family,11,4,5,3,252000,246000,21.0,0.977,2.20
2024-12,62701,Downtown,Condo,18,6,7,5,202000,204000,16.0,1.010,2.57
2024-12,62702,Westside,Condo,12,4,5,4,222000,224000,15.0,1.009,2.40
2024-12,62703,Northgate,Condo,9,3,4,3,172000,174000,16.3,1.012,2.25
